time,ax,ay,az
3.447,-0.35,0.01,-0.39
3.452,-0.44,-0.05,-0.37
3.457,-0.49,-0.12,-0.21
3.462,-0.46,-0.26,-0.02
3.467,-0.35,-0.31,0.12
3.476,-0.26,-0.41,0.21
3.477,-0.13,-0.36,0.22
3.483,0.03,-0.30,0.32
3.491,0.12,-0.46,0.28
3.492,0.13,-0.44,0.19
3.497,0.06,-0.32,0.06
3.502,0.03,-0.27,-0.07
3.507,-0.04,-0.25,-0.13
3.512,-0.07,-0.23,-0.27
3.517,-0.04,-0.17,-0.34
3.522,-0.04,-0.18,-0.32
3.527,-0.07,-0.19,-0.37
3.532,-0.10,-0.17,-0.38
3.538,-0.17,-0.15,-0.37
3.543,-0.22,-0.22,-0.26
3.547,-0.26,-0.30,-0.12
3.553,-0.30,-0.25,-0.10
3.558,-0.33,-0.23,0.01
3.563,-0.36,-0.27,0.11
3.568,-0.40,-0.28,0.16
3.573,-0.42,-0.27,0.26
3.578,-0.45,-0.27,0.32
3.583,-0.49,-0.22,0.33
3.591,-0.53,-0.18,0.31
3.593,-0.51,-0.21,0.24
3.598,-0.39,-0.19,0.15
3.603,-0.27,-0.22,0.07
3.608,-0.13,-0.26,-0.01
3.613,-0.04,-0.24,-0.02
3.618,0.06,-0.22,-0.05
3.623,0.15,-0.21,-0.02
3.628,0.12,-0.22,-0.05
3.633,0.09,-0.18,-0.10
3.638,0.17,-0.12,-0.08
3.643,0.14,-0.10,-0.10
3.648,0.11,-0.10,-0.12
3.653,0.08,-0.16,-0.17
3.658,-0.03,-0.15,-0.17
3.663,-0.10,-0.18,-0.20
3.668,-0.08,-0.17,-0.17
3.674,-0.04,-0.15,-0.20
3.678,-0.05,-0.16,-0.33
3.684,-0.07,-0.20,-0.40
3.694,-0.08,-0.28,-0.43
3.695,-0.16,-0.29,-0.46
3.698,-0.23,-0.31,-0.44
3.704,-0.24,-0.31,-0.49
3.709,-0.22,-0.35,-0.59
3.714,-0.22,-0.37,-0.65
3.719,-0.21,-0.36,-0.66
3.724,-0.16,-0.38,-0.68
3.729,-0.10,-0.32,-0.64
3.734,-0.09,-0.30,-0.63
3.739,-0.06,-0.32,-0.58
3.744,-0.11,-0.37,-0.56
3.749,-0.20,-0.47,-0.47
3.754,-0.17,-0.47,-0.42
3.759,-0.22,-0.41,-0.39
3.764,-0.30,-0.43,-0.36
3.769,-0.45,-0.42,-0.52
3.775,-0.50,-0.40,-0.53
3.779,-0.47,-0.43,-0.40
3.784,-0.36,-0.42,-0.29
3.792,-0.40,-0.47,-0.20
3.794,-0.36,-0.39,-0.09
3.799,-0.39,-0.37,0.02
3.804,-0.44,-0.40,0.16
3.809,-0.49,-0.42,0.31
3.814,-0.55,-0.35,0.45
3.819,-0.54,-0.39,0.66
3.824,-0.60,-0.27,0.69
3.830,-0.63,-0.22,0.81
3.834,-0.59,-0.16,0.92
3.839,-0.54,-0.11,0.87
3.844,-0.61,-0.10,0.88
3.849,-0.55,0.06,0.83
3.854,-0.58,0.02,0.77
3.860,-0.59,0.11,0.81
3.865,-0.59,0.10,0.73
3.870,-0.53,0.07,0.62
3.875,-0.49,0.02,0.55
3.880,-0.45,-0.01,0.45
3.885,-0.37,-0.02,0.30
3.894,-0.35,-0.08,0.25
3.895,-0.26,-0.13,0.20
3.900,-0.24,-0.17,0.10
3.905,-0.18,-0.13,0.00
3.910,-0.08,-0.14,-0.06
3.915,0.06,-0.05,-0.15
3.920,0.16,-0.12,-0.25
3.925,0.32,0.00,-0.37
3.930,0.43,-0.16,-0.64
3.935,0.61,-0.19,-0.78
3.941,0.71,-0.08,-0.90
